# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.0 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2016-01-01T00:00:00.0
# Date end (ISO 8601): 2017-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): -32.3862
# Longitude (positive East, ISO 19115): -58.1321
# Altitude (m): 10.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2016-01-03T15:00:00.0/2016-01-03T16:00:00.0;1377.7169;1064.4633;918.1294;146.3340;938.2086
2016-01-03T16:00:00.0/2016-01-03T17:00:00.0;1373.7885;1060.6699;914.5681;146.1018;937.2345
2016-01-03T17:00:00.0/2016-01-03T18:00:00.0;1296.2095;992.1426;849.4586;142.6840;922.4663
2016-01-03T18:00:00.0/2016-01-03T19:00:00.0;1150.2582;864.4135;728.2973;136.1162;890.8598
2016-01-03T19:00:00.0/2016-01-03T20:00:00.0;945.8708;687.6039;562.2944;125.3094;835.4898
2016-01-03T20:00:00.0/2016-01-03T21:00:00.0;696.9645;476.4842;368.6014;107.8828;740.6353
2016-01-03T21:00:00.0/2016-01-03T22:00:00.0;420.4891;252.5824;173.3875;79.1949;567.1135
2016-01-03T22:00:00.0/2016-01-03T23:00:00.0;135.2969;59.0867;28.4273;30.6594;212.6012
2016-01-03T23:00:00.0/2016-01-04T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-04T00:00:00.0/2016-01-04T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-04T01:00:00.0/2016-01-04T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-04T02:00:00.0/2016-01-04T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-04T03:00:00.0/2016-01-04T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-04T04:00:00.0/2016-01-04T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-04T05:00:00.0/2016-01-04T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-04T06:00:00.0/2016-01-04T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-04T07:00:00.0/2016-01-04T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-04T08:00:00.0/2016-01-04T09:00:00.0;0.7795;0.1605;0.0011;0.1593;0.0000
2016-01-04T09:00:00.0/2016-01-04T10:00:00.0;162.2214;70.5097;32.2765;38.2332;217.6746
2016-01-04T10:00:00.0/2016-01-04T11:00:00.0;447.4484;265.5972;176.7503;88.8468;544.0697
2016-01-04T11:00:00.0/2016-01-04T12:00:00.0;722.0865;485.7898;367.7384;118.0514;713.2611
2016-01-04T12:00:00.0/2016-01-04T13:00:00.0;967.4245;691.1069;556.2728;134.8342;808.1248
2016-01-04T13:00:00.0/2016-01-04T14:00:00.0;1166.7442;861.1239;716.8892;144.2348;864.5126
2016-01-04T14:00:00.0/2016-01-04T15:00:00.0;1306.4599;981.5104;832.9062;148.6042;897.3945
2016-01-04T15:00:00.0/2016-01-04T16:00:00.0;1377.0450;1042.4802;893.0594;149.4208;913.0337
2016-01-04T16:00:00.0/2016-01-04T17:00:00.0;1373.6824;1039.2583;892.0842;147.1741;914.2722
2016-01-04T17:00:00.0/2016-01-04T18:00:00.0;1296.5927;972.4085;830.5374;141.8710;901.6683
2016-01-04T18:00:00.0/2016-01-04T19:00:00.0;1151.0202;846.9491;711.1172;135.8318;869.2072
2016-01-04T19:00:00.0/2016-01-04T20:00:00.0;946.8748;672.8056;545.2819;127.5237;809.2054
2016-01-04T20:00:00.0/2016-01-04T21:00:00.0;698.0571;464.9303;353.1299;111.8004;708.0367
2016-01-04T21:00:00.0/2016-01-04T22:00:00.0;421.5104;244.5692;161.3581;83.2110;524.9142
2016-01-04T22:00:00.0/2016-01-04T23:00:00.0;136.0707;56.2215;24.2880;31.9335;177.0547
2016-01-04T23:00:00.0/2016-01-05T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-05T00:00:00.0/2016-01-05T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-05T01:00:00.0/2016-01-05T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-05T02:00:00.0/2016-01-05T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-05T03:00:00.0/2016-01-05T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-05T04:00:00.0/2016-01-05T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-05T05:00:00.0/2016-01-05T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-05T06:00:00.0/2016-01-05T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-05T07:00:00.0/2016-01-05T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-05T08:00:00.0/2016-01-05T09:00:00.0;0.5201;0.1031;0.0010;0.1021;0.0000
2016-01-05T09:00:00.0/2016-01-05T10:00:00.0;158.6833;65.2078;25.5234;39.6844;170.4857
2016-01-05T10:00:00.0/2016-01-05T11:00:00.0;444.1339;255.5077;157.1162;98.3916;485.4774
2016-01-05T11:00:00.0/2016-01-05T12:00:00.0;719.1343;475.2910;340.4034;134.8875;662.4472
2016-01-05T12:00:00.0/2016-01-05T13:00:00.0;964.9481;681.6249;524.5524;157.0725;763.8011
2016-01-05T13:00:00.0/2016-01-05T14:00:00.0;1164.8242;852.6835;682.7659;169.9177;824.6473
2016-01-05T14:00:00.0/2016-01-05T15:00:00.0;1305.1383;974.0942;797.3979;176.6963;859.9832
2016-01-05T15:00:00.0/2016-01-05T16:00:00.0;1376.3226;1036.0932;857.2322;178.8610;876.8572
2016-01-05T16:00:00.0/2016-01-05T17:00:00.0;1373.5186;1033.8385;856.8805;176.9581;878.2905
2016-01-05T17:00:00.0/2016-01-05T18:00:00.0;1296.9082;967.6341;796.4957;171.1384;864.4753
2016-01-05T18:00:00.0/2016-01-05T19:00:00.0;1151.7026;842.5441;680.5602;161.9839;831.3434
2016-01-05T19:00:00.0/2016-01-05T20:00:00.0;947.7864;668.6999;520.5684;148.1315;771.7139
2016-01-05T20:00:00.0/2016-01-05T21:00:00.0;699.0443;461.1454;335.0349;126.1105;670.5973
2016-01-05T21:00:00.0/2016-01-05T22:00:00.0;422.4141;242.5212;152.7465;89.7747;496.1253
2016-01-05T22:00:00.0/2016-01-05T23:00:00.0;136.7651;56.3719;23.4922;32.8797;171.7114
2016-01-05T23:00:00.0/2016-01-06T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-06T00:00:00.0/2016-01-06T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-06T01:00:00.0/2016-01-06T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-06T02:00:00.0/2016-01-06T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-06T03:00:00.0/2016-01-06T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-06T04:00:00.0/2016-01-06T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-06T05:00:00.0/2016-01-06T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-06T06:00:00.0/2016-01-06T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-06T07:00:00.0/2016-01-06T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-06T08:00:00.0/2016-01-06T09:00:00.0;0.3012;0.0603;0.0002;0.0602;0.0000
2016-01-06T09:00:00.0/2016-01-06T10:00:00.0;155.0744;67.1843;28.8337;38.3506;197.6643
2016-01-06T10:00:00.0/2016-01-06T11:00:00.0;440.7593;262.7557;169.6364;93.1193;529.1209
2016-01-06T11:00:00.0/2016-01-06T12:00:00.0;716.1303;485.7103;360.5093;125.2009;704.8025
2016-01-06T12:00:00.0/2016-01-06T13:00:00.0;962.4252;694.4934;550.3654;144.1280;803.6015
2016-01-06T13:00:00.0/2016-01-06T14:00:00.0;1162.8596;867.9511;712.8787;155.0724;862.4973
2016-01-06T14:00:00.0/2016-01-06T15:00:00.0;1303.7707;991.6911;831.0869;160.6043;897.2498
2016-01-06T15:00:00.0/2016-01-06T16:00:00.0;1375.5494;1055.9219;893.2801;162.6418;914.2299
