,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00
"May 22, 16",222.8,265.6,370.1,376.6,310.9,304.4,327.6,311.9,295.4,282.0,226.7,228.2,230.9,234.0,250.7,250.1,228.9,168.1,124.6,64.0,25.5,31.2,37.7,36.1,26.5,27.5,22.0,18.0,16.0,4.4,9.6,49.1,61.4,70.1,61.0,69.0,87.1,93.6,103.5,119.7,145.7,165.3,186.8,136.0,73.9,92.9,131.9,134.2,128.8,142.2,155.8,199.1,315.5,392.6,444.0,581.5,555.4,592.3,553.5,529.9,475.3,488.2,496.8,517.2,508.6,437.5,380.7,289.4,208.1,99.7,61.7,37.7
"May 23, 16",26.5,27.5,22.0,18.0,16.0,4.4,9.6,49.1,61.4,70.1,61.0,69.0,87.1,93.6,103.5,119.7,145.7,165.3,186.8,136.0,73.9,92.9,131.9,134.2,128.8,142.2,155.8,199.1,315.5,392.6,444.0,581.5,555.4,592.3,553.5,529.9,475.3,488.2,496.8,517.2,508.6,437.5,380.7,289.4,208.1,99.7,61.7,37.7,27.1,19.1,22.3,54.5,129.5,148.6,133.8,134.3,125.7,102.3,85.2,66.3,50.8,43.3,70.4,132.3,170.3,196.5,187.2,211.8,260.5,222.4,219.4,216.9
"May 24, 16",128.8,142.2,155.8,199.1,315.5,392.6,444.0,581.5,555.4,592.3,553.5,529.9,475.3,488.2,496.8,517.2,508.6,437.5,380.7,289.4,208.1,99.7,61.7,37.7,27.1,19.1,22.3,54.5,129.5,148.6,133.8,134.3,125.7,102.3,85.2,66.3,50.8,43.3,70.4,132.3,170.3,196.5,187.2,211.8,260.5,222.4,219.4,216.9,214.2,213.1,182.5,205.2,244.5,255.4,250.5,263.3,315.8,346.3,347.6,331.8,290.6,278.1,266.6,258.0,274.6,255.2,264.5,284.4,279.3,271.7,298.4,250.9
"May 25, 16",27.1,19.1,22.3,54.5,129.5,148.6,133.8,134.3,125.7,102.3,85.2,66.3,50.8,43.3,70.4,132.3,170.3,196.5,187.2,211.8,260.5,222.4,219.4,216.9,214.2,213.1,182.5,205.2,244.5,255.4,250.5,263.3,315.8,346.3,347.6,331.8,290.6,278.1,266.6,258.0,274.6,255.2,264.5,284.4,279.3,271.7,298.4,250.9,278.1,326.2,318.0,333.8,395.7,451.1,485.6,509.0,488.9,496.2,511.4,536.3,528.3,487.3,476.8,443.4,459.3,508.4,533.1,490.5,484.7,485.3,488.7,449.1
"May 26, 16",214.2,213.1,182.5,205.2,244.5,255.4,250.5,263.3,315.8,346.3,347.6,331.8,290.6,278.1,266.6,258.0,274.6,255.2,264.5,284.4,279.3,271.7,298.4,250.9,278.1,326.2,318.0,333.8,395.7,451.1,485.6,509.0,488.9,496.2,511.4,536.3,528.3,487.3,476.8,443.4,459.3,508.4,533.1,490.5,484.7,485.3,488.7,449.1,403.3,447.9,517.3,565.4,617.4,623.4,613.9,618.5,594.0,524.1,441.7,387.6,391.6,423.0,391.1,380.2,337.8,304.2,276.6,243.5,224.1,198.1,213.2,202.8
"May 27, 16",278.1,326.2,318.0,333.8,395.7,451.1,485.6,509.0,488.9,496.2,511.4,536.3,528.3,487.3,476.8,443.4,459.3,508.4,533.1,490.5,484.7,485.3,488.7,449.1,403.3,447.9,517.3,565.4,617.4,623.4,613.9,618.5,594.0,524.1,441.7,387.6,391.6,423.0,391.1,380.2,337.8,304.2,276.6,243.5,224.1,198.1,213.2,202.8,174.9,185.3,193.6,224.8,225.0,206.1,210.1,257.9,270.6,261.8,235.3,234.9,256.3,289.0,404.5,486.6,564.5,605.4,565.7,558.8,558.2,561.5,592.4,598.0
"May 28, 16",403.3,447.9,517.3,565.4,617.4,623.4,613.9,618.5,594.0,524.1,441.7,387.6,391.6,423.0,391.1,380.2,337.8,304.2,276.6,243.5,224.1,198.1,213.2,202.8,174.9,185.3,193.6,224.8,225.0,206.1,210.1,257.9,270.6,261.8,235.3,234.9,256.3,289.0,404.5,486.6,564.5,605.4,565.7,558.8,558.2,561.5,592.4,598.0,605.9,613.5,621.2,570.7,581.3,626.0,625.3,606.5,615.5,522.0,327.8,226.5,226.1,223.4,227.7,227.4,221.4,394.5,389.9,481.5,509.1,546.8,568.0,567.2
"May 29, 16",174.9,185.3,193.6,224.8,225.0,206.1,210.1,257.9,270.6,261.8,235.3,234.9,256.3,289.0,404.5,486.6,564.5,605.4,565.7,558.8,558.2,561.5,592.4,598.0,605.9,613.5,621.2,570.7,581.3,626.0,625.3,606.5,615.5,522.0,327.8,226.5,226.1,223.4,227.7,227.4,221.4,394.5,389.9,481.5,509.1,546.8,568.0,567.2,512.3,474.2,455.8,559.2,547.4,558.4,558.9,612.9,620.6,649.2,588.5,485.5,490.7,482.1,374.5,345.3,336.3,358.3,403.5,503.4,556.2,582.7,602.4,604.6
"May 30, 16",605.9,613.5,621.2,570.7,581.3,626.0,625.3,606.5,615.5,522.0,327.8,226.5,226.1,223.4,227.7,227.4,221.4,394.5,389.9,481.5,509.1,546.8,568.0,567.2,512.3,474.2,455.8,559.2,547.4,558.4,558.9,612.9,620.6,649.2,588.5,485.5,490.7,482.1,374.5,345.3,336.3,358.3,403.5,503.4,556.2,582.7,602.4,604.6,587.9,567.8,545.9,493.1,533.0,576.7,597.5,591.0,564.8,578.8,557.8,491.8,459.2,509.6,507.5,486.4,447.2,435.0,434.6,340.1,339.3,372.6,489.1,608.3
"May 31, 16",512.3,474.2,455.8,559.2,547.4,558.4,558.9,612.9,620.6,649.2,588.5,485.5,490.7,482.1,374.5,345.3,336.3,358.3,403.5,503.4,556.2,582.7,602.4,604.6,587.9,567.8,545.9,493.1,533.0,576.7,597.5,591.0,564.8,578.8,557.8,491.8,459.2,509.6,507.5,486.4,447.2,435.0,434.6,340.1,339.3,372.6,489.1,608.3,659.6,615.4,530.4,480.0,472.7,449.6,444.5,475.6,442.1,399.0,360.6,361.3,387.5,373.5,358.7,327.8,293.9,262.4,247.4,198.7,214.3,210.2,223.6,206.6
