,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00
"Mar 21, 16",230.2,198.4,163.3,107.1,80.2,97.6,104.9,72.6,65.6,74.5,59.1,56.8,62.2,74.7,82.8,95.3,70.7,63.6,68.2,65.1,66.3,85.2,84.2,63.2,39.3,30.0,36.3,45.0,52.2,80.7,116.5,117.9,94.9,82.7,63.3,94.1,118.7,122.0,134.2,177.8,211.2,202.7,112.4,37.4,28.4,29.3,29.7,20.8,14.9,16.2,20.0,34.4,44.7,84.1,130.8,182.7,214.0,229.2,225.0,262.4,382.5,387.4,321.9,259.8,203.3,155.6,72.0,27.8,26.4,27.7,46.9,92.1
"Mar 22, 16",39.3,30.0,36.3,45.0,52.2,80.7,116.5,117.9,94.9,82.7,63.3,94.1,118.7,122.0,134.2,177.8,211.2,202.7,112.4,37.4,28.4,29.3,29.7,20.8,14.9,16.2,20.0,34.4,44.7,84.1,130.8,182.7,214.0,229.2,225.0,262.4,382.5,387.4,321.9,259.8,203.3,155.6,72.0,27.8,26.4,27.7,46.9,92.1,169.2,219.9,313.2,412.6,539.8,566.5,575.1,586.3,527.0,468.6,481.1,492.7,446.2,428.2,470.9,491.4,502.8,530.7,535.6,625.1,669.5,701.7,709.7,702.1
"Mar 23, 16",14.9,16.2,20.0,34.4,44.7,84.1,130.8,182.7,214.0,229.2,225.0,262.4,382.5,387.4,321.9,259.8,203.3,155.6,72.0,27.8,26.4,27.7,46.9,92.1,169.2,219.9,313.2,412.6,539.8,566.5,575.1,586.3,527.0,468.6,481.1,492.7,446.2,428.2,470.9,491.4,502.8,530.7,535.6,625.1,669.5,701.7,709.7,702.1,668.6,609.6,618.0,562.3,537.3,574.8,592.5,630.6,584.0,618.7,614.9,605.6,588.1,601.4,592.7,595.3,583.2,609.9,580.6,561.5,589.7,607.8,618.6,624.2
"Mar 24, 16",169.2,219.9,313.2,412.6,539.8,566.5,575.1,586.3,527.0,468.6,481.1,492.7,446.2,428.2,470.9,491.4,502.8,530.7,535.6,625.1,669.5,701.7,709.7,702.1,668.6,609.6,618.0,562.3,537.3,574.8,592.5,630.6,584.0,618.7,614.9,605.6,588.1,601.4,592.7,595.3,583.2,609.9,580.6,561.5,589.7,607.8,618.6,624.2,646.6,670.2,713.5,734.0,708.2,709.5,694.8,649.9,629.5,524.0,511.7,498.4,571.0,593.7,591.0,598.6,591.4,517.1,536.3,521.7,517.1,506.3,510.4,505.4
"Mar 25, 16",668.6,609.6,618.0,562.3,537.3,574.8,592.5,630.6,584.0,618.7,614.9,605.6,588.1,601.4,592.7,595.3,583.2,609.9,580.6,561.5,589.7,607.8,618.6,624.2,646.6,670.2,713.5,734.0,708.2,709.5,694.8,649.9,629.5,524.0,511.7,498.4,571.0,593.7,591.0,598.6,591.4,517.1,536.3,521.7,517.1,506.3,510.4,505.4,480.7,479.0,536.6,550.1,515.3,518.6,446.9,390.4,344.3,314.4,300.5,218.4,184.4,208.0,289.3,309.9,295.3,285.4,250.4,235.0,238.1,284.7,356.2,409.0
"Mar 26, 16",646.6,670.2,713.5,734.0,708.2,709.5,694.8,649.9,629.5,524.0,511.7,498.4,571.0,593.7,591.0,598.6,591.4,517.1,536.3,521.7,517.1,506.3,510.4,505.4,480.7,479.0,536.6,550.1,515.3,518.6,446.9,390.4,344.3,314.4,300.5,218.4,184.4,208.0,289.3,309.9,295.3,285.4,250.4,235.0,238.1,284.7,356.2,409.0,417.5,407.1,358.9,280.5,225.6,187.1,149.9,131.3,108.1,106.3,121.0,133.2,117.5,107.2,108.0,127.0,148.8,137.1,155.3,143.7,142.3,160.5,161.2,152.9
"Mar 27, 16",480.7,479.0,536.6,550.1,515.3,518.6,446.9,390.4,344.3,314.4,300.5,218.4,184.4,208.0,289.3,309.9,295.3,285.4,250.4,235.0,238.1,284.7,356.2,409.0,417.5,407.1,358.9,280.5,225.6,187.1,149.9,131.3,108.1,106.3,121.0,133.2,117.5,107.2,108.0,127.0,148.8,137.1,155.3,143.7,142.3,160.5,161.2,152.9,118.9,89.0,59.2,37.2,42.8,56.3,54.2,53.8,46.9,39.8,36.5,28.5,26.4,18.2,12.2,7.3,7.1,5.9,6.9,3.4,2.5,4.6,3.7,7.7
"Mar 28, 16",417.5,407.1,358.9,280.5,225.6,187.1,149.9,131.3,108.1,106.3,121.0,133.2,117.5,107.2,108.0,127.0,148.8,137.1,155.3,143.7,142.3,160.5,161.2,152.9,118.9,89.0,59.2,37.2,42.8,56.3,54.2,53.8,46.9,39.8,36.5,28.5,26.4,18.2,12.2,7.3,7.1,5.9,6.9,3.4,2.5,4.6,3.7,7.7,6.9,16.7,30.7,43.0,65.6,106.0,155.4,247.5,361.6,423.6,488.4,492.4,483.7,455.0,446.3,405.6,303.5,226.7,166.1,81.1,49.5,33.5,32.4,23.8
"Mar 29, 16",118.9,89.0,59.2,37.2,42.8,56.3,54.2,53.8,46.9,39.8,36.5,28.5,26.4,18.2,12.2,7.3,7.1,5.9,6.9,3.4,2.5,4.6,3.7,7.7,6.9,16.7,30.7,43.0,65.6,106.0,155.4,247.5,361.6,423.6,488.4,492.4,483.7,455.0,446.3,405.6,303.5,226.7,166.1,81.1,49.5,33.5,32.4,23.8,16.2,37.7,64.7,102.8,165.0,308.4,350.2,438.6,457.5,446.0,484.4,490.4,476.0,475.3,473.4,403.7,352.4,297.6,218.9,198.3,229.8,256.8,294.8,288.0
"Mar 30, 16",6.9,16.7,30.7,43.0,65.6,106.0,155.4,247.5,361.6,423.6,488.4,492.4,483.7,455.0,446.3,405.6,303.5,226.7,166.1,81.1,49.5,33.5,32.4,23.8,16.2,37.7,64.7,102.8,165.0,308.4,350.2,438.6,457.5,446.0,484.4,490.4,476.0,475.3,473.4,403.7,352.4,297.6,218.9,198.3,229.8,256.8,294.8,288.0,275.4,291.9,283.5,244.2,406.6,408.3,388.0,353.9,411.2,421.9,427.9,447.6,420.7,428.7,344.4,386.2,447.1,426.6,393.4,294.0,204.3,119.7,111.1,150.3
"Mar 31, 16",16.2,37.7,64.7,102.8,165.0,308.4,350.2,438.6,457.5,446.0,484.4,490.4,476.0,475.3,473.4,403.7,352.4,297.6,218.9,198.3,229.8,256.8,294.8,288.0,275.4,291.9,283.5,244.2,406.6,408.3,388.0,353.9,411.2,421.9,427.9,447.6,420.7,428.7,344.4,386.2,447.1,426.6,393.4,294.0,204.3,119.7,111.1,150.3,152.5,112.9,94.4,62.2,63.4,95.9,144.3,167.7,173.0,206.9,246.5,213.6,214.1,206.6,144.2,140.8,143.6,174.3,143.4,135.9,91.4,55.0,58.8,26.3
"Apr 1, 16",275.4,291.9,283.5,244.2,406.6,408.3,388.0,353.9,411.2,421.9,427.9,447.6,420.7,428.7,344.4,386.2,447.1,426.6,393.4,294.0,204.3,119.7,111.1,150.3,152.5,112.9,94.4,62.2,63.4,95.9,144.3,167.7,173.0,206.9,246.5,213.6,214.1,206.6,144.2,140.8,143.6,174.3,143.4,135.9,91.4,55.0,58.8,26.3,30.7,62.3,104.0,156.1,158.5,240.4,317.4,378.2,389.7,503.8,423.8,396.7,396.1,471.2,532.7,496.6,478.9,508.5,502.4,558.6,570.8,460.9,544.2,596.6
"Apr 2, 16",152.5,112.9,94.4,62.2,63.4,95.9,144.3,167.7,173.0,206.9,246.5,213.6,214.1,206.6,144.2,140.8,143.6,174.3,143.4,135.9,91.4,55.0,58.8,26.3,30.7,62.3,104.0,156.1,158.5,240.4,317.4,378.2,389.7,503.8,423.8,396.7,396.1,471.2,532.7,496.6,478.9,508.5,502.4,558.6,570.8,460.9,544.2,596.6,655.5,630.3,581.2,610.0,568.5,588.1,597.7,574.5,532.1,493.7,399.5,371.4,331.1,273.3,202.2,161.6,165.7,177.7,176.7,183.9,221.9,167.5,153.2,128.3
"Apr 3, 16",30.7,62.3,104.0,156.1,158.5,240.4,317.4,378.2,389.7,503.8,423.8,396.7,396.1,471.2,532.7,496.6,478.9,508.5,502.4,558.6,570.8,460.9,544.2,596.6,655.5,630.3,581.2,610.0,568.5,588.1,597.7,574.5,532.1,493.7,399.5,371.4,331.1,273.3,202.2,161.6,165.7,177.7,176.7,183.9,221.9,167.5,153.2,128.3,67.0,53.7,56.4,42.8,65.9,88.1,133.8,136.9,137.9,152.0,125.5,119.3,113.6,149.7,164.7,130.2,131.8,259.0,358.2,388.3,308.9,292.3,202.2,160.5
"Apr 4, 16",655.5,630.3,581.2,610.0,568.5,588.1,597.7,574.5,532.1,493.7,399.5,371.4,331.1,273.3,202.2,161.6,165.7,177.7,176.7,183.9,221.9,167.5,153.2,128.3,67.0,53.7,56.4,42.8,65.9,88.1,133.8,136.9,137.9,152.0,125.5,119.3,113.6,149.7,164.7,130.2,131.8,259.0,358.2,388.3,308.9,292.3,202.2,160.5,205.6,345.6,355.6,412.4,415.8,354.8,252.9,161.0,100.0,122.8,120.7,77.6,81.4,68.4,61.5,59.9,53.9,45.0,50.0,62.8,82.0,68.8,49.3,47.3
"Apr 5, 16",67.0,53.7,56.4,42.8,65.9,88.1,133.8,136.9,137.9,152.0,125.5,119.3,113.6,149.7,164.7,130.2,131.8,259.0,358.2,388.3,308.9,292.3,202.2,160.5,205.6,345.6,355.6,412.4,415.8,354.8,252.9,161.0,100.0,122.8,120.7,77.6,81.4,68.4,61.5,59.9,53.9,45.0,50.0,62.8,82.0,68.8,49.3,47.3,40.6,103.9,129.5,131.7,143.3,222.2,281.6,295.2,213.9,260.3,341.0,320.4,277.8,210.1,261.4,241.4,277.5,408.0,186.3,175.2,250.1,266.7,201.3,185.8
