Objeto,Procedencia,Fecha Medida,Hora Medida,Valor
DSRADG01EAS,STC,08/01/2016,900,3.345
DSRADG01EAS,STC,08/01/2016,1000,3.06
DSRADG01EAS,STC,08/01/2016,1100,2.527
DSRADG01EAS,STC,08/01/2016,1200,5.873
DSRADG01EAS,STC,08/01/2016,1300,7.837
DSRADG01EAS,STC,08/01/2016,1400,7.81
DSRADG01EAS,STC,08/01/2016,1500,7.397
DSRADG01EAS,STC,08/01/2016,1600,6.352
DSRADG01EAS,STC,08/01/2016,1700,5.028
DSRADG01EAS,STC,08/01/2016,1800,3.131
DSRADG01EAS,STC,08/01/2016,1900,1.082
DSRADG01EAS,STC,08/01/2016,2000,0.137
DSRADG01EAS,STC,08/01/2016,2100,0
DSRADG01EAS,STC,08/01/2016,2200,0
DSRADG01EAS,STC,08/01/2016,2300,0
DSRADG01EAS,STC,08/01/2016,2400,0
DSRADG01EAS,STC,09/01/2016,100,0
DSRADG01EAS,STC,09/01/2016,200,0
DSRADG01EAS,STC,09/01/2016,300,0
DSRADG01EAS,STC,09/01/2016,400,0
DSRADG01EAS,STC,09/01/2016,500,0
DSRADG01EAS,STC,09/01/2016,600,0
DSRADG01EAS,STC,09/01/2016,700,0.137
DSRADG01EAS,STC,09/01/2016,800,1.072
DSRADG01EAS,STC,09/01/2016,900,3.3
DSRADG01EAS,STC,09/01/2016,1000,5.157
DSRADG01EAS,STC,09/01/2016,1100,6.65
DSRADG01EAS,STC,09/01/2016,1200,7.605
DSRADG01EAS,STC,09/01/2016,1300,7.834
DSRADG01EAS,STC,09/01/2016,1400,7.843
DSRADG01EAS,STC,09/01/2016,1500,7.492
DSRADG01EAS,STC,09/01/2016,1600,6.484
DSRADG01EAS,STC,09/01/2016,1700,5.019
DSRADG01EAS,STC,09/01/2016,1800,3.075
DSRADG01EAS,STC,09/01/2016,1900,0.973
DSRADG01EAS,STC,09/01/2016,2000,0.137
DSRADG01EAS,STC,09/01/2016,2100,0
DSRADG01EAS,STC,09/01/2016,2200,0
DSRADG01EAS,STC,09/01/2016,2300,0
DSRADG01EAS,STC,09/01/2016,2400,0
DSRADG01EAS,STC,10/01/2016,100,0
DSRADG01EAS,STC,10/01/2016,200,0
DSRADG01EAS,STC,10/01/2016,300,0
DSRADG01EAS,STC,10/01/2016,400,0
DSRADG01EAS,STC,10/01/2016,500,0
DSRADG01EAS,STC,10/01/2016,600,0
DSRADG01EAS,STC,10/01/2016,700,0.174
DSRADG01EAS,STC,10/01/2016,800,0.888
DSRADG01EAS,STC,10/01/2016,900,2.176
DSRADG01EAS,STC,10/01/2016,1000,4.212
DSRADG01EAS,STC,10/01/2016,1100,5.593
DSRADG01EAS,STC,10/01/2016,1200,6.006
DSRADG01EAS,STC,10/01/2016,1300,7.234
DSRADG01EAS,STC,10/01/2016,1400,7.191
DSRADG01EAS,STC,10/01/2016,1500,5.797
DSRADG01EAS,STC,10/01/2016,1600,6.737
DSRADG01EAS,STC,10/01/2016,1700,4.412
DSRADG01EAS,STC,10/01/2016,1800,3.298
DSRADG01EAS,STC,10/01/2016,1900,1.193
DSRADG01EAS,STC,10/01/2016,2000,0.128
DSRADG01EAS,STC,10/01/2016,2100,0
DSRADG01EAS,STC,10/01/2016,2200,0
DSRADG01EAS,STC,10/01/2016,2300,0
DSRADG01EAS,STC,10/01/2016,2400,0
DSRADG01EAS,STC,11/01/2016,100,0
DSRADG01EAS,STC,11/01/2016,200,0
DSRADG01EAS,STC,11/01/2016,300,0
DSRADG01EAS,STC,11/01/2016,400,0
DSRADG01EAS,STC,11/01/2016,500,0
DSRADG01EAS,STC,11/01/2016,600,0
DSRADG01EAS,STC,11/01/2016,700,0.125
DSRADG01EAS,STC,11/01/2016,800,1.045
DSRADG01EAS,STC,11/01/2016,900,3.244
DSRADG01EAS,STC,11/01/2016,1000,5.193
DSRADG01EAS,STC,11/01/2016,1100,6.638
DSRADG01EAS,STC,11/01/2016,1200,7.402
DSRADG01EAS,STC,11/01/2016,1300,7.587
DSRADG01EAS,STC,11/01/2016,1400,7.605
DSRADG01EAS,STC,11/01/2016,1500,7.257
DSRADG01EAS,STC,11/01/2016,1600,6.318
DSRADG01EAS,STC,11/01/2016,1700,4.933
