Objeto,Fecha Medida,Hora Medida,Valor
BJACBG01EAS,13/01/2016,1400,44.365
BJACBG01EAS,13/01/2016,1500,45.088
BJACBG01EAS,13/01/2016,1600,32.854
BJACBG01EAS,13/01/2016,1700,23.873
BJACBG01EAS,13/01/2016,1800,18.744
BJACBG01EAS,13/01/2016,1900,7.758
BJACBG01EAS,13/01/2016,2000,1.877
BJACBG01EAS,13/01/2016,2100,0
BJACBG01EAS,13/01/2016,2200,0
BJACBG01EAS,13/01/2016,2300,0
BJACBG01EAS,13/01/2016,2400,0
BJACBG01EAS,14/01/2016,100,0
BJACBG01EAS,14/01/2016,200,0
BJACBG01EAS,14/01/2016,300,0
BJACBG01EAS,14/01/2016,400,0
BJACBG01EAS,14/01/2016,500,0
BJACBG01EAS,14/01/2016,600,0
BJACBG01EAS,14/01/2016,700,0.798
BJACBG01EAS,14/01/2016,800,6.864
BJACBG01EAS,14/01/2016,900,21.313
BJACBG01EAS,14/01/2016,1000,34.75
BJACBG01EAS,14/01/2016,1100,44.004
BJACBG01EAS,14/01/2016,1200,48.613
BJACBG01EAS,14/01/2016,1300,48.627
BJACBG01EAS,14/01/2016,1400,49.86
BJACBG01EAS,14/01/2016,1500,49.401
BJACBG01EAS,14/01/2016,1600,44.107
BJACBG01EAS,14/01/2016,1700,34.578
BJACBG01EAS,14/01/2016,1800,22.097
BJACBG01EAS,14/01/2016,1900,8.053
BJACBG01EAS,14/01/2016,2000,0.859
BJACBG01EAS,14/01/2016,2100,0
BJACBG01EAS,14/01/2016,2200,0
BJACBG01EAS,14/01/2016,2300,0
BJACBG01EAS,14/01/2016,2400,0
BJACBG01EAS,15/01/2016,100,0
BJACBG01EAS,15/01/2016,200,0
BJACBG01EAS,15/01/2016,300,0
BJACBG01EAS,15/01/2016,400,0
BJACBG01EAS,15/01/2016,500,0
BJACBG01EAS,15/01/2016,600,0
BJACBG01EAS,15/01/2016,700,0.758
BJACBG01EAS,15/01/2016,800,6.729
BJACBG01EAS,15/01/2016,900,20.709
BJACBG01EAS,15/01/2016,1000,34.116
BJACBG01EAS,15/01/2016,1100,43.119
BJACBG01EAS,15/01/2016,1200,47.975
BJACBG01EAS,15/01/2016,1300,49.845
BJACBG01EAS,15/01/2016,1400,49.771
BJACBG01EAS,15/01/2016,1500,48.977
BJACBG01EAS,15/01/2016,1600,43.558
BJACBG01EAS,15/01/2016,1700,34.782
BJACBG01EAS,15/01/2016,1800,21.378
BJACBG01EAS,15/01/2016,1900,7.904
BJACBG01EAS,15/01/2016,2000,0.871
BJACBG01EAS,15/01/2016,2100,0
BJACBG01EAS,15/01/2016,2200,0
BJACBG01EAS,15/01/2016,2300,0
BJACBG01EAS,15/01/2016,2400,0
BJACBG01EAS,16/01/2016,100,0
BJACBG01EAS,16/01/2016,200,0
BJACBG01EAS,16/01/2016,300,0
BJACBG01EAS,16/01/2016,400,0
BJACBG01EAS,16/01/2016,500,0
BJACBG01EAS,16/01/2016,600,0
BJACBG01EAS,16/01/2016,700,0.714
BJACBG01EAS,16/01/2016,800,6.477
BJACBG01EAS,16/01/2016,900,20.618
BJACBG01EAS,16/01/2016,1000,33.675
BJACBG01EAS,16/01/2016,1100,42.927
BJACBG01EAS,16/01/2016,1200,47.496
BJACBG01EAS,16/01/2016,1300,49.605
BJACBG01EAS,16/01/2016,1400,49.281
BJACBG01EAS,16/01/2016,1500,47.575
BJACBG01EAS,16/01/2016,1600,42.812
BJACBG01EAS,16/01/2016,1700,34.303
BJACBG01EAS,16/01/2016,1800,21.928
BJACBG01EAS,16/01/2016,1900,7.922
BJACBG01EAS,16/01/2016,2000,0.858
BJACBG01EAS,16/01/2016,2100,0
BJACBG01EAS,16/01/2016,2200,0
BJACBG01EAS,16/01/2016,2300,0
BJACBG01EAS,16/01/2016,2400,0
BJACBG01EAS,17/01/2016,100,0
BJACBG01EAS,17/01/2016,200,0
BJACBG01EAS,17/01/2016,300,0
BJACBG01EAS,17/01/2016,400,0
BJACBG01EAS,17/01/2016,500,0
BJACBG01EAS,17/01/2016,600,0
BJACBG01EAS,17/01/2016,700,0.626
BJACBG01EAS,17/01/2016,800,5.956
BJACBG01EAS,17/01/2016,900,19.548
BJACBG01EAS,17/01/2016,1000,33.393
BJACBG01EAS,17/01/2016,1100,43.394
BJACBG01EAS,17/01/2016,1200,48.341
BJACBG01EAS,17/01/2016,1300,49.688
BJACBG01EAS,17/01/2016,1400,48.899
BJACBG01EAS,17/01/2016,1500,46.918
BJACBG01EAS,17/01/2016,1600,42.464
BJACBG01EAS,17/01/2016,1700,33.833
BJACBG01EAS,17/01/2016,1800,14.471
