# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.0 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2016-01-01T00:00:00.0
# Date end (ISO 8601): 2017-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): -31.4319
# Longitude (positive East, ISO 19115): -57.9092
# Altitude (m): 44.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2016-01-03T18:00:00.0/2016-01-03T19:00:00.0;1148.8153;866.0559;741.1910;124.8649;907.7674
2016-01-03T19:00:00.0/2016-01-03T20:00:00.0;941.5187;686.6692;570.8221;115.8471;852.0763
2016-01-03T20:00:00.0/2016-01-03T21:00:00.0;689.4739;472.9582;372.4124;100.5458;756.3627
2016-01-03T21:00:00.0/2016-01-03T22:00:00.0;409.8447;246.5401;172.2394;74.3007;577.0597
2016-01-03T22:00:00.0/2016-01-03T23:00:00.0;122.3978;53.1183;25.8152;27.3030;201.5500
2016-01-03T23:00:00.0/2016-01-04T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-04T00:00:00.0/2016-01-04T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-04T01:00:00.0/2016-01-04T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-04T02:00:00.0/2016-01-04T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-04T03:00:00.0/2016-01-04T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-04T04:00:00.0/2016-01-04T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-04T05:00:00.0/2016-01-04T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-04T06:00:00.0/2016-01-04T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-04T07:00:00.0/2016-01-04T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-04T08:00:00.0/2016-01-04T09:00:00.0;0.3790;0.0768;0.0019;0.0748;0.0000
2016-01-04T09:00:00.0/2016-01-04T10:00:00.0;157.4410;70.6469;35.6638;34.9830;246.2284
2016-01-04T10:00:00.0/2016-01-04T11:00:00.0;445.6276;269.5414;189.1535;80.3879;585.7258
2016-01-04T11:00:00.0/2016-01-04T12:00:00.0;722.8253;491.2630;384.9903;106.2727;746.3700
2016-01-04T12:00:00.0/2016-01-04T13:00:00.0;970.1487;696.8563;575.1579;121.6984;833.3857
2016-01-04T13:00:00.0/2016-01-04T14:00:00.0;1170.7445;866.2474;735.2423;131.0051;883.6922
2016-01-04T14:00:00.0/2016-01-04T15:00:00.0;1310.9397;985.2995;849.1375;136.1620;911.7887
2016-01-04T15:00:00.0/2016-01-04T16:00:00.0;1381.1754;1043.8135;902.1403;141.6731;919.5835
2016-01-04T16:00:00.0/2016-01-04T17:00:00.0;1376.6581;1037.1191;889.3677;147.7514;909.4884
2016-01-04T17:00:00.0/2016-01-04T18:00:00.0;1297.6872;966.3336;815.8456;150.4880;884.8715
2016-01-04T18:00:00.0/2016-01-04T19:00:00.0;1149.6351;836.0212;681.9772;154.0440;834.2458
2016-01-04T19:00:00.0/2016-01-04T20:00:00.0;942.5810;656.0810;501.2943;154.7867;746.5217
2016-01-04T20:00:00.0/2016-01-04T21:00:00.0;690.6236;442.5727;302.4184;140.1543;610.9947
2016-01-04T21:00:00.0/2016-01-04T22:00:00.0;410.9202;223.8139;126.1478;97.6661;419.0129
2016-01-04T22:00:00.0/2016-01-04T23:00:00.0;123.1846;47.0651;16.1687;30.8964;122.0296
2016-01-04T23:00:00.0/2016-01-05T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-05T00:00:00.0/2016-01-05T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-05T01:00:00.0/2016-01-05T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-05T02:00:00.0/2016-01-05T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-05T03:00:00.0/2016-01-05T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-05T04:00:00.0/2016-01-05T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-05T05:00:00.0/2016-01-05T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-05T06:00:00.0/2016-01-05T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-05T07:00:00.0/2016-01-05T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-05T08:00:00.0/2016-01-05T09:00:00.0;0.2109;0.0401;0.0008;0.0393;0.0000
2016-01-05T09:00:00.0/2016-01-05T10:00:00.0;153.9158;62.7425;24.7045;38.0379;165.6955
2016-01-05T10:00:00.0/2016-01-05T11:00:00.0;442.3306;255.0184;160.8003;94.2181;498.2466
2016-01-05T11:00:00.0/2016-01-05T12:00:00.0;719.8965;477.8688;353.0789;124.7899;686.2524
2016-01-05T12:00:00.0/2016-01-05T13:00:00.0;967.7023;686.5708;546.0012;140.5696;792.7662
2016-01-05T13:00:00.0/2016-01-05T14:00:00.0;1168.8612;859.4499;711.5223;147.9276;856.3972
2016-01-05T14:00:00.0/2016-01-05T15:00:00.0;1309.6616;982.3296;832.6516;149.6780;894.8866
2016-01-05T15:00:00.0/2016-01-05T16:00:00.0;1380.5026;1044.2883;892.6295;151.6588;910.3148
2016-01-05T16:00:00.0/2016-01-05T17:00:00.0;1376.5489;1040.4280;885.9058;154.5221;906.0292
2016-01-05T17:00:00.0/2016-01-05T18:00:00.0;1298.0610;972.1323;818.1944;153.9379;887.2031
2016-01-05T18:00:00.0/2016-01-05T19:00:00.0;1150.3779;845.2176;697.5488;147.6688;853.1231
2016-01-05T19:00:00.0/2016-01-05T20:00:00.0;943.5534;669.8632;535.1545;134.7087;796.9989
2016-01-05T20:00:00.0/2016-01-05T21:00:00.0;691.6701;460.4716;345.9100;114.5616;699.9626
2016-01-05T21:00:00.0/2016-01-05T22:00:00.0;411.8800;238.8820;156.3956;82.4864;520.1391
2016-01-05T22:00:00.0/2016-01-05T23:00:00.0;123.8558;51.2558;22.1194;29.1364;169.0555
2016-01-05T23:00:00.0/2016-01-06T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-06T00:00:00.0/2016-01-06T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-06T01:00:00.0/2016-01-06T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-06T02:00:00.0/2016-01-06T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-06T03:00:00.0/2016-01-06T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-06T04:00:00.0/2016-01-06T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-06T05:00:00.0/2016-01-06T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-06T06:00:00.0/2016-01-06T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-06T07:00:00.0/2016-01-06T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-06T08:00:00.0/2016-01-06T09:00:00.0;0.0834;0.0161;0.0007;0.0154;0.0000
2016-01-06T09:00:00.0/2016-01-06T10:00:00.0;150.3226;65.8427;29.9369;35.9058;208.9506
